jpr_logo,jpr_hp,acs_logo,acs_logo_hq,acs_hp_theme
#1752A4,#1a0dab,#084695,#0058A1,#008D3F
#F2B035,#0039a6,#0B56A4,#FBB900,#DB6720
#008D3F,#044788,#7F8C6C,,#00a3e0
,#fdc82f,#F2B544,,#FDD941
,#3D464D,#FDC037,,#009d9d
,,,,#A6CC38
,,,,#F2F2F2
